image,ground_truth,prediction,CER_formula,CER_score,,,,
test001_1.jpg,B9140BCD,9140,CER = (0 + 4 + 0) / 8,0.5,,Hasil Gambar Yang Benar,Hasil Gambar Yang Salah Satu Huruf/Angka. atau hampir benar,total yang salah
test001_2.jpg,B2407UZO,B2407UZ,CER = (0 + 1 + 0) / 8,0.125,,8,30,140 data
test001_3.jpg,B2842PKM,B284PKM,CER = (0 + 1 + 0) / 8,0.125,,,19,
test002_1.jpg,BG1352AE,1362AE,CER = (1 + 2 + 0) / 8,0.375,,,1,
test003_1.jpg,B2634UZF,B2634,CER = (0 + 3 + 0) / 8,0.375,,,,
test003_2.jpg,B1995JVK,B1995JUK,CER = (1 + 0 + 0) / 8,0.125,,,total 50 yang salah satu huruf atau angka,
test004_1.jpg,B9062VEH,90822,CER = (4 + 1 + 0) / 8,0.625,,,,
test005_1.jpg,DD8798KM,2798,CER = (3 + 2 + 0) / 8,0.625,,,,
test006_1.jpg,T1329KC,1329,CER = (0 + 3 + 0) / 7,0.429,,,,
test007_1.jpg,AD8865EE,865EE,CER = (0 + 3 + 0) / 8,0.375,,,,
test008_1.jpg,DK1157AAB,DK1157AB,CER = (0 + 1 + 0) / 9,0.111,,,,
test008_2.jpg,AA1997FE,1997,CER = (0 + 4 + 0) / 8,0.5,,,,
test009_1.jpg,H8518NA,85178,CER = (0 + 3 + 1) / 7,0.571,,,,
test009_2.jpg,K1649GB,1649,CER = (0 + 3 + 0) / 7,0.429,,,,
test010_1.jpg,B9416PCN,941,CER = (0 + 5 + 0) / 8,0.625,,,,
test010_2.jpg,H1147UY,1147,CER = (0 + 3 + 0) / 7,0.429,,,,
test011_1.jpg,H1691IL,H1691IL,CER = (0 + 0 + 0) / 7,0,,,,
test011_2.jpg,B9374RI,9371,CER = (3 + 1 + 0) / 7,0.571,,,,
test011_3.jpg,D1204AIG,1204AI,CER = (0 + 2 + 0) / 8,0.25,,,,
test012_1.jpg,E1887BA,1887,CER = (0 + 3 + 0) / 7,0.429,,,,
test013_1.jpg,B1439UZP,1439USPB,CER = (1 + 1 + 1) / 8,0.375,,,,
test013_2.jpg,B1128WOS,1128,CER = (0 + 4 + 0) / 8,0.5,,,,
test014_1.jpg,B1388DFX,1388,CER = (0 + 4 + 0) / 8,0.5,,,,
test015_1.jpg,AD1798BT,1798,CER = (0 + 4 + 0) / 8,0.5,,,,
test016_1.jpg,E1517DQ,1517,CER = (0 + 3 + 0) / 7,0.429,,,,
test017_1.jpg,AD8982FS,8982,CER = (0 + 4 + 0) / 8,0.5,,,,
test018_1.jpg,L7603UA,7603,CER = (0 + 3 + 0) / 7,0.429,,,,
test019_1.jpg,AD7HS,AD7HS,CER = (0 + 0 + 0) / 5,0,,,,
test019_2.jpg,B1959WYK,1959WYK,CER = (0 + 1 + 0) / 8,0.125,,,,
test020_1.jpg,AG8634EK,8692,CER = (4 + 2 + 0) / 8,0.75,,,,
test020_2.jpg,AD1329PY,1328,CER = (3 + 2 + 0) / 8,0.625,,,,
test021_1.jpg,BA1709DW,1709,CER = (0 + 4 + 0) / 8,0.5,,,,
test021_2.jpg,W1236VZ,1236VZ,CER = (0 + 1 + 0) / 7,0.143,,,,
test022_1.jpg,W1825OZ,182507,CER = (2 + 1 + 0) / 7,0.429,,,,
test022_2.jpg,L1202UE,1202,CER = (0 + 3 + 0) / 7,0.429,,,,
test022_3.jpg,L3823IB,382,CER = (0 + 4 + 0) / 7,0.571,,,,
test023_1.jpg,B1730JLO,1730,CER = (0 + 4 + 0) / 8,0.5,,,,
test024_1.jpg,B2964TRU,2964,CER = (0 + 4 + 0) / 8,0.5,,,,
test025_1.jpg,S5585LP,55685,CER = (0 + 3 + 1) / 7,0.571,,,,
test025_2.jpg,L2858RR,L285R,CER = (0 + 2 + 0) / 7,0.286,,,,
test025_3.jpg,W1185ZO,Z02,CER = (2 + 5 + 0) / 7,1,,,,
test025_4.jpg,9840VU,9840,CER = (0 + 2 + 0) / 6,0.333,,,,
test026_1.jpg,N9652DF,9652,CER = (0 + 3 + 0) / 7,0.429,,,,
test026_2.jpg,L3836ZX,38836XZX,CER = (0 + 1 + 2) / 7,0.429,,,,
test027_1.jpg,N1905IG,1905IG,CER = (0 + 1 + 0) / 7,0.143,,,,
test027_2.jpg,B1109CLR,11909CLR,CER = (0 + 1 + 1) / 8,0.25,,,,
test027_3.jpg,L1840AA,1840AA,CER = (0 + 1 + 0) / 7,0.143,,,,
test028_1.jpg,L1438EO,E0,CER = (1 + 5 + 0) / 7,0.857,,,,
test028_2.jpg,L1436AAA,1436AA,CER = (0 + 2 + 0) / 8,0.25,,,,
test029_1.jpg,W1518WF,1516,CER = (3 + 1 + 0) / 7,0.571,,,,
test029_2.jpg,G1986N,1986,CER = (0 + 2 + 0) / 6,0.333,,,,
test029_3.jpg,L1588OO,1588,CER = (0 + 3 + 0) / 7,0.429,,,,
test029_4.jpg,L1436AAA,1436AAA,CER = (0 + 1 + 0) / 8,0.125,,,,
test030_1.jpg,S8062NF,8062,CER = (0 + 3 + 0) / 7,0.429,,,,
test030_2.jpg,G1894TE,1894,CER = (0 + 3 + 0) / 7,0.429,,,,
test031_1.jpg,L1560JQ,1560,CER = (0 + 3 + 0) / 7,0.429,,,,
test031_2.jpg,L1568QO,1568,CER = (0 + 3 + 0) / 7,0.429,,,,
test031_3.jpg,L1932AAZ,19322,CER = (3 + 1 + 0) / 8,0.5,,,,
test032_1.jpg,B2754SKY,SKY2,CER = (0 + 5 + 1) / 8,0.75,,,,
test032_2.jpg,W1192K,192,CER = (0 + 3 + 0) / 6,0.5,,,,
test033_1.jpg,L4561VK,45611,CER = (2 + 1 + 0) / 7,0.429,,,,
test033_2.jpg,L2693GA,2693,CER = (0 + 3 + 0) / 7,0.429,,,,
test033_3.jpg,W9847G,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS0827,CER = (15 + 1 + 24) / 6,6.667,,,,
test033_4.jpg,L1762ABJ,1762ABJ,CER = (0 + 1 + 0) / 8,0.125,,,,
test034_1.jpg,L1811SU,1811SU,CER = (0 + 1 + 0) / 7,0.143,,,,
test034_2.jpg,W1167VO,NW1167,CER = (0 + 2 + 1) / 7,0.429,,,,
test034_3.jpg,S6131OCF,613,CER = (0 + 5 + 0) / 8,0.625,,,,
test034_4.jpg,L2570AAD,L2570AAD,CER = (0 + 0 + 0) / 8,0,,,,
test035_1.jpg,L9643NN,96433,CER = (2 + 1 + 0) / 7,0.429,,,,
test035_2.jpg,L5247GI,5217,CER = (1 + 3 + 0) / 7,0.571,,,,
test035_3.jpg,L2498AAM,L269AM,CER = (1 + 2 + 0) / 8,0.375,,,,
test035_4.jpg,W1696YO,1696YO,CER = (0 + 1 + 0) / 7,0.143,,,,
test036_1.jpg,B1231JJA,1231JJA,CER = (0 + 1 + 0) / 8,0.125,,,,
test036_2.jpg,B1618UAE,B1618UAE,CER = (0 + 0 + 0) / 8,0,,,,
test037_1.jpg,L1775VO,V8,CER = (1 + 5 + 0) / 7,0.857,,,,
test037_2.jpg,L300RX,300RX,CER = (0 + 1 + 0) / 6,0.167,,,,
test037_3.jpg,L1879VG,1879,CER = (0 + 3 + 0) / 7,0.429,,,,
test038_1.jpg,D1523YCN,1523YCN,CER = (0 + 1 + 0) / 8,0.125,,,,
test038_2.jpg,L1877ACU,1877,CER = (0 + 4 + 0) / 8,0.5,,,,
test039_1.jpg,L1069VK,1089,CER = (1 + 3 + 0) / 7,0.571,,,,
test040_1.jpg,S1595LL,1595,CER = (0 + 3 + 0) / 7,0.429,,,,
test041_1.jpg,B1231JJA,1231JJA,CER = (0 + 1 + 0) / 8,0.125,,,,
test042_1.jpg,AD1174SF,1SF,CER = (0 + 5 + 0) / 8,0.625,,,,
test043_1.jpg,W1898YW,1898,CER = (0 + 3 + 0) / 7,0.429,,,,
test043_2.jpg,W1470PG,1470PG,CER = (0 + 1 + 0) / 7,0.143,,,,
test044_1.jpg,L1930KF,1930KF,CER = (0 + 1 + 0) / 7,0.143,,,,
test044_2.jpg,N1004HE,1004HE,CER = (0 + 1 + 0) / 7,0.143,,,,
test045_1.jpg,S1347LJ,1347,CER = (0 + 3 + 0) / 7,0.429,,,,
test046_1.jpg,L1470ABK,147ABK,CER = (0 + 2 + 0) / 8,0.25,,,,
test046_2.jpg,L1265MX,1265MX,CER = (0 + 1 + 0) / 7,0.143,,,,
test047_1.jpg,N1524SY,1524,CER = (0 + 3 + 0) / 7,0.429,,,,
test047_2.jpg,L1678ACE,1678LACE,CER = (0 + 1 + 1) / 8,0.25,,,,
test048_1.jpg,L9316BC,9316BC,CER = (0 + 1 + 0) / 7,0.143,,,,
test048_2.jpg,W1838AY,1838,CER = (0 + 3 + 0) / 7,0.429,,,,
test049_1.jpg,N1376DE,1376DE,CER = (0 + 1 + 0) / 7,0.143,,,,
test049_2.jpg,N79AP,79AP,CER = (0 + 1 + 0) / 5,0.2,,,,
test050_1.jpg,L1265OF,L1265OF,CER = (0 + 0 + 0) / 7,0,,,,
test050_2.jpg,N1095G,1095,CER = (0 + 2 + 0) / 6,0.333,,,,
test051_1.jpg,N1718HC,1718HC,CER = (0 + 1 + 0) / 7,0.143,,,,
test052_1.jpg,N6497KS,6197KS,CER = (1 + 1 + 0) / 7,0.286,,,,
test052_2.jpg,N5235ABX,5233ABX,CER = (1 + 1 + 0) / 8,0.25,,,,
test052_3.jpg,N4980KJ,4980KJ,CER = (0 + 1 + 0) / 7,0.143,,,,
test053_1.jpg,N1365AAO,AA09,CER = (2 + 5 + 0) / 8,0.875,,,,
test054_1.jpg,N1077AAK,1077AAK,CER = (0 + 1 + 0) / 8,0.125,,,,
test054_2.jpg,N1084AAO,1084AAO,CER = (0 + 1 + 0) / 8,0.125,,,,
test055_1.jpg,N1610KS,N1610KS,CER = (0 + 0 + 0) / 7,0,,,,
test056_1.jpg,N924CIA,924CIA,CER = (0 + 1 + 0) / 7,0.143,,,,
test056_2.jpg,N1623HB,1623,CER = (0 + 3 + 0) / 7,0.429,,,,
test056_3.jpg,L1430HF,143,CER = (0 + 4 + 0) / 7,0.571,,,,
test057_1.jpg,N1342T,1342,CER = (0 + 2 + 0) / 6,0.333,,,,
test057_2.jpg,N4145AB,4165AB,CER = (1 + 1 + 0) / 7,0.286,,,,
test057_3.jpg,N1396AAH,1396AAH,CER = (0 + 1 + 0) / 8,0.125,,,,
test058_1.jpg,N3153ACB,N3153AB,CER = (0 + 1 + 0) / 8,0.125,,,,
test058_2.jpg,N5829KJ,5029,CER = (1 + 3 + 0) / 7,0.571,,,,
test058_3.jpg,N1780JL,1780,CER = (0 + 3 + 0) / 7,0.429,,,,
test059_1.jpg,W8774PA,8771,CER = (3 + 1 + 0) / 7,0.571,,,,
test059_2.jpg,B9162FXU,B9162FXU,CER = (0 + 0 + 0) / 8,0,,,,
test060_1.jpg,L1846JE,1846,CER = (0 + 3 + 0) / 7,0.429,,,,
test060_2.jpg,M1457ITA,1467,CER = (1 + 4 + 0) / 8,0.625,,,,
test061_1.jpg,AA1971KJ,1971KJ,CER = (0 + 2 + 0) / 8,0.25,,,,
test061_2.jpg,BD1146DH,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS146DH,CER = (19 + 0 + 18) / 8,4.625,,,,
test062_1.jpg,B9654PEU,B965PEU,CER = (0 + 1 + 0) / 8,0.125,,,,
test062_2.jpg,AE7244S,AE7124S,CER = (0 + 1 + 1) / 7,0.286,,,,
test063_1.jpg,S1208BI,1208BI,CER = (0 + 1 + 0) / 7,0.143,,,,
test064_1.jpg,AE8137G,AE8137,CER = (0 + 1 + 0) / 7,0.143,,,,
test065_1.jpg,H1706SW,1706SW,CER = (0 + 1 + 0) / 7,0.143,,,,
test066_1.jpg,T1220HS,1220HS,CER = (0 + 1 + 0) / 7,0.143,,,,
test066_2.jpg,H1790ZY,1790,CER = (0 + 3 + 0) / 7,0.429,,,,
test067_1.jpg,L1855BR,1855,CER = (0 + 3 + 0) / 7,0.429,,,,
test067_2.jpg,AB1274EV,1274EV,CER = (0 + 2 + 0) / 8,0.25,,,,
test068_1.jpg,B2310UZS,2310US,CER = (0 + 2 + 0) / 8,0.25,,,,
test068_2.jpg,G1264CM,1264,CER = (0 + 3 + 0) / 7,0.429,,,,
test069_1.jpg,AA1138AK,1138,CER = (0 + 4 + 0) / 8,0.5,,,,
test070_1.jpg,B2160TOB,B2160GOB,CER = (1 + 0 + 0) / 8,0.125,,,,
test070_2.jpg,B2597BYK,2697,CER = (1 + 4 + 0) / 8,0.625,,,,
test071_1.jpg,G9545AG,G956AG,CER = (2 + 0 + 0) / 7,0.286,,,,
test072_1.jpg,BG1870IB,1870IBC,CER = (0 + 2 + 1) / 8,0.375,,,,
test073_1.jpg,T1187HB,11877,CER = (2 + 1 + 0) / 7,0.429,,,,
test073_2.jpg,A1330FP,1330,CER = (0 + 3 + 0) / 7,0.429,,,,
test074_1.jpg,G1368GE,1368,CER = (0 + 3 + 0) / 7,0.429,,,,
test074_2.jpg,B1081CMR,1081CMMR,CER = (0 + 1 + 1) / 8,0.25,,,,
test075_1.jpg,G2474XZ,C2174X,CER = (2 + 1 + 0) / 7,0.429,,,,
test075_2.jpg,G9173BP,9173,CER = (0 + 3 + 0) / 7,0.429,,,,
test075_3.jpg,7066OF,716,CER = (1 + 3 + 0) / 6,0.667,,,,
test076_1.jpg,G2151ASF,62151ASF,CER = (1 + 0 + 0) / 8,0.125,,,,
test076_2.jpg,E500MA,E500MA,CER = (0 + 0 + 0) / 6,0,,,,
test076_3.jpg,G4689SN,G6809SN,CER = (0 + 1 + 1) / 7,0.286,,,,
test077_1.jpg,G1754QZ,1754,CER = (0 + 3 + 0) / 7,0.429,,,,
test078_1.jpg,H1413DH,143DH,CER = (0 + 2 + 0) / 7,0.286,,,,
test079_1.jpg,T1688GY,1688,CER = (0 + 3 + 0) / 7,0.429,,,,
test079_2.jpg,A1260AJ,126A,CER = (0 + 3 + 0) / 7,0.429,,,,
test080_1.jpg,D77HSB,77HSB,CER = (0 + 1 + 0) / 6,0.167,,,,
test080_2.jpg,B1861TOI,1861,CER = (0 + 4 + 0) / 8,0.5,,,,
test080_3.jpg,D1160ADE,160ADE,CER = (0 + 2 + 0) / 8,0.25,,,,
test081_1.jpg,F8097BD,8097,CER = (0 + 3 + 0) / 7,0.429,,,,
test081_2.jpg,F1992AM,1982,CER = (1 + 3 + 0) / 7,0.571,,,,
test082_1.jpg,E1824YZ,1824,CER = (0 + 3 + 0) / 7,0.429,,,,
test082_2.jpg,B9093UEX,9033,CER = (3 + 2 + 0) / 8,0.625,,,,
test083_1.jpg,F5052AAE,5032,CER = (1 + 4 + 0) / 8,0.625,,,,
test083_2.jpg,F5452CQ,5452CO,CER = (1 + 1 + 0) / 7,0.286,,,,
test084_1.jpg,B1158PYP,1158PYP,CER = (0 + 1 + 0) / 8,0.125,,,,
test084_2.jpg,B1242VOY,1242VOY,CER = (0 + 1 + 0) / 8,0.125,,,,
test085_1.jpg,B1315KIF,1315KIF,CER = (0 + 1 + 0) / 8,0.125,,,,
test085_2.jpg,B2938FVJ,2938,CER = (0 + 4 + 0) / 8,0.5,,,,
test085_3.jpg,B2560SKZ,B265SKZ,CER = (0 + 2 + 1) / 8,0.375,,,,
test086_1.jpg,B1291NOJ,1291NJ,CER = (0 + 2 + 0) / 8,0.25,,,,
test086_2.jpg,B1556NRC,1566NRC,CER = (1 + 1 + 0) / 8,0.25,,,,
test087_1.jpg,B6823WXR,B6823,CER = (0 + 3 + 0) / 8,0.375,,,,
test087_2.jpg,B6317NXK,63177,CER = (3 + 1 + 0) / 8,0.5,,,,
test087_3.jpg,F2215FCQ,FC0,CER = (1 + 5 + 0) / 8,0.75,,,,
test087_4.jpg,4039NHR,40399MHMR,CER = (2 + 0 + 1) / 7,0.429,,,,
test088_1.jpg,B2190TYB,2190TYB,CER = (0 + 1 + 0) / 8,0.125,,,,
test088_2.jpg,B1902VKA,1902VKA,CER = (0 + 1 + 0) / 8,0.125,,,,
test089_1.jpg,D8609N,8609,CER = (0 + 2 + 0) / 6,0.333,,,,
test089_2.jpg,A8406ZE,A846E,CER = (0 + 2 + 0) / 7,0.286,,,,
test089_3.jpg,B1246KRK,1246KRK,CER = (0 + 1 + 0) / 8,0.125,,,,
test090_1.jpg,T9314E,9314,CER = (0 + 2 + 0) / 6,0.333,,,,
test090_2.jpg,N9579U,9579,CER = (0 + 2 + 0) / 6,0.333,,,,
test091_1.jpg,B2910KZW,2910KZW,CER = (0 + 1 + 0) / 8,0.125,,,,
test091_2.jpg,B9721KXV,9721KXV,CER = (0 + 1 + 0) / 8,0.125,,,,
test092_1.jpg,B1104AAA,1104AAA,CER = (0 + 1 + 0) / 8,0.125,,,,
test092_2.jpg,T1579FN,1579,CER = (0 + 3 + 0) / 7,0.429,,,,
test092_3.jpg,B2346POC,2346POC,CER = (0 + 1 + 0) / 8,0.125,,,,
test093_1.jpg,B2026BIU,2026,CER = (0 + 4 + 0) / 8,0.5,,,,
test094_1.jpg,G1255EJ,G125EJ,CER = (0 + 1 + 0) / 7,0.143,,,,
test095_1.jpg,B1201KAD,1201KAD,CER = (0 + 1 + 0) / 8,0.125,,,,
test095_2.jpg,B2310JUK,2310JUK,CER = (0 + 1 + 0) / 8,0.125,,,,
test095_3.jpg,B28YHH,28YYH,CER = (0 + 2 + 1) / 6,0.5,,,,
test096_1.jpg,B1354COJ,1356,CER = (4 + 1 + 0) / 8,0.625,,,,
test096_2.jpg,B1502NRO,15022NRO,CER = (0 + 1 + 1) / 8,0.25,,,,
test097_1.jpg,B1650NOG,1650NOLAN,CER = (3 + 1 + 0) / 8,0.5,,,,
test097_2.jpg,B6354SVL,6354SVL,CER = (0 + 1 + 0) / 8,0.125,,,,
test098_1.jpg,B1779DOB,1779,CER = (0 + 4 + 0) / 8,0.5,,,,
test099_1.jpg,B2017PBQ,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISPBQ17,CER = (19 + 0 + 20) / 8,4.875,,,,
test099_2.jpg,B1892WZT,1892WZT,CER = (0 + 1 + 0) / 8,0.125,,,,
test100_1.jpg,B1071PRG,10771PRG,CER = (0 + 1 + 1) / 8,0.25,,,,
test100_2.jpg,B2134PZJ,8213,CER = (1 + 4 + 0) / 8,0.625,,,,
,,,,,,,,
